Rank,Site,Total visits,Charge /free,% +/-,Group,Note
1,British Museum,"6,239,983",F/C,7%,,a
2,Tate Modern,"6,098,340",F/C,3.90%,TATE,
3,"National Gallery, The","6,011,007",F/C,4.80%,,
4,NHM (South Kensington),"5,423,932",F/C,4%,NHM,
5,Southbank Centre,"4,360,255",F/C,-2.05%,,
6,V&A South Kensington,"3,992,198",F/C,1%,V&A,
7,Science Museum,"3,301,975",F,4%,SMG,
8,Tower of London,"2,984,499",C,4.40%,HRP,
9,Royal Museums Greenwich,"2,906,000",F/C,14%,,b
10,Somerset House,"2,841,772",F/C,-9.60%,,c
11,"Royal Botanic Gardens, Kew","2,316,699",C,23%,RBGK,d
12,National Museum of Scotland,"2,210,024",F/C,-1%,NMS,
13,Edinburgh Castle,"2,201,354",C,4%,HES,e
14,Chester Zoo,"2,086,785",C,5.90%,,
15,Kelvingrove Art Gallery & Museum,"1,832,097",F,73.73%,GM,f
16,Tate Britain,"1,808,637",F/C,42%,TATE,g
17,Royal Albert Hall,"1,721,632",C,-1.70%,,
18,St Paul's Cathedral,"1,716,417",F/C,3.60%,,
19,National Portrait Gallery London,"1,619,694",F/C,1.02%,,
20,Stonehenge,"1,604,248",C,3.10%,EH,
21,Scottish National Gallery,"1,583,231",F/C,-9%,NGS,
22,Westminster Abbey,"1,574,401",F/C,1.84%,,
23,British Library,"1,534,860",F/C,5.35%,,
24,Riverside Museum,"1,364,739",F,8.79%,GM,
25,Roman Baths and Pump Room,"1,325,085",C,1.70%,,
26,Old Royal Naval College,"1,264,683",F/C,-1%,,
27,Royal Academy,"1,248,882",F/C,-2%,,h
28,RHS Garden Wisley,"1,232,772",F/C,15.10%,RHS,
29,National Museum Royal Navy,"1,122,072",F/C,-9%,,
30,ZSL London Zoo,"1,078,519",C,0.50%,ZSL,
31,IWM London,"1,073,936",F/C,1%,IWM,
32,Hampton Court Palace,"1,072,823",C,-3.80%,HRP,h
33,UK Parliament,"1,063,501",F/C,-1.90%,,
34,Longleat,"1,011,314",C,12%,,i
35,Eden Project,"1,010,095",C,0.60%,,
36,Giant's Causeway,"998,014",F/C,-4%,NT,
37,"Royal Botanic Gardens, Edinburgh","991,110",F/C,6%,RBGE,
38,Blenheim Palace,"984,913",F/C,9.23%,THE,
39,The Royal Shakespeare Theatre and Swan Theatre,"974,424",F/C,-6.80%,,
40,Museum of Liverpool,"956,918",F,-1%,NML,
41,Horniman Museum and Gardens,"952,954",F/C,2.80%,,
42,Ashmolean Museum of Art and Archaeology,"930,669",F/C,5%,OUM,
43,Tower Bridge Exhibition,"889,338",C,6%,CLC,
44,Canterbury Cathedral,"876,646",F/C,-1.90%,,
45,Merseyside Maritime Museum,"836,980",F,-7%,NML,
46,Titanic Belfast,"828,017",F/C,-1%,,
47,"National War Museum, Edinburgh","805,934",C,1%,NMS,
48,Oxford University Museum of Natural History,"792,282",F,1%,OUM,
49,Shakespeare's Globe,"781,240",C,-4.60%,,h
50,Bodleian Libraries,"760,815",F,-16%,OUM,j
51,Durham Cathedral,"727,367",F,9.60%,,
52,National Railway Museum,"714,379",F,-13.40%,SMG,k
53,York Minster,"706,484",F/C,1.70%,,
54,Museum of London,"706,219",F/C,1.70%,MOL,
55,World Museum,"672,514",F,-53%,NML,l
56,Clumber Park,"666,997",F/C,1%,NT,
57,Tate Liverpool,"660,022",F/C,-6.67%,TATE,
58,ZSL Whipsnade Zoo,"648,945",C,6.70%,ZSL,
59,Birmingham Museum and Art Gallery,"644,100",F,-23%,BMT,m
60,V&A Dundee,"624,600",F/C,83%,V&A,n
61,Churchill War Rooms,"620,933",C,7%,IWM,
62,Stirling Castle,"609,698",C,1%,HES,
63,Chatsworth,"606,420",C,0.10%,THE,
64,Edinburgh Zoo,"605,000",F/C,2%,,
65,Gallery of Modern Art,"576,689",F,-8.97%,GM,o
66,"Westonbirt, The National Arboretum","566,565",C,2.50%,FC,
67,Attingham Park,"557,136",F/C,13%,NT,
68,Museum of Science and Industry,"556,523",F,-21%,SMG,p
69,Urquhart Castle,"547,518",C,6%,HES,
70,Leeds Castle,"539,971",F/C,16%,THE,
